resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 3,extraTxt href,extraTxt 7,extraTxt 8,extraTxt href 2,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 12,extraTxt 13,extraTxt 14,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay 3,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 4,legendControl 5,enConDesc,enConList,enConList 2,headerSect 7,headerSect 8,headerSect 9,headerSect 10,headerSect 11,headerSect 12,colCode 2,weekDay 4,dayInfo 4,dayInfo 5,dayInfo 6,weekDay 5,weekDay 7,alignC,colAvail 2,numCurr 2,numTot 2,numWait 2,onlineMeeting 2,headerSect 13,headerSect 25,weekDay 31,dayInfo 31,dayInfo 32,dayInfo 33,weekDay href,weekDay href 3,alignC 13,extraTxt 15,extraTxt 16
EAS,Modern Standard Chinese I,EAS100Y1-Y,Timetable instructions,Note:,See EAS's website for . Students need a placement interview prior to enrolling; registration deadline is at the end of June.,placement and enrolment instructions,https://www.eas.utoronto.ca/languages/enrolment-instructions/chinese,"Intended for students with no background in Mandarin or any Chinese dialect, this course provides an introduction to modern standard Chinese as a foreign/second language. The course consists of mandatory lectures and tutorials. Students study a minimum of 500 Chinese characters. Students must go through screening process conducted by the Department. See  for details.",www.eas.utoronto.ca/languages/chinese,http://www.eas.utoronto.ca/languages/chinese,"EAS101Y1, LGGA60H3, LGGA61H3, LGGB60H3, LGGB61H3, CHI100Y5, CHI101H5",Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,LEC9901,Monday,—,11:00,13:00,—,—,"Rupprecht, H.",of  available,18,75,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. NOTE: Spaces for each priority group in this course are not equal, and each priority group has its own waitlist until July 28. As of July 30, the waitlists for each priority group merge into one, and your rank on the waitlist may change; this is also when other Arts & Science students can begin to enrol. Beginning August 4, other downtown campus students can enrol in this section. There is no course enrolment on August 5. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of East Asian Studies   (Faculty of Arts and Science),Year 1      (Faculty of Arts and Science),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Tuesday,—,12:00,13:00,Wednesday,—,—,of  available,1,25,No,Online - Synchronous (See Delivery Instructions.),Activity,,,,,,,,,,
GGR,Introduction to Physical Geography and Earth Science,JEG100H1-S,,,,,,"This introduction to Physical Geography and Earth Sciences examines the atmosphere, lithosphere, hydrosphere, cryosphere and biosphere, emphasizing processes, flows of energy and materials, and the interconnectedness of these Earth systems. Specific topics include weather and climate, earth materials, geological and geomorphic processes involved in the genesis of landforms, river systems, glaciers, soils, and biomes.",,,"GGR100H1, ESS102H1, EESA06H3",Exclusion:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,LEC0101,Tuesday,—,14:00,15:00,LM 159,LM 159,"Bergquist, B.",of  available,12,160,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",Activity,Time,Room,Instructor(s),Space Availability,Wait List,PRA0101,Tuesday,—,10:00,12:00,ES 2101,ES 1062,—,of  available,0,27,No,In Person,Status / Notes,Room,Thursday,—,14:00,15:00,https://map.utoronto.ca/?id=1809#!m/494502,https://map.utoronto.ca/?id=1809#!m/494499,,,
DRAMA,"Introduction to Drama, Theatre and Performance Studies",DRM101Y1-Y,Timetable instructions,Note:,Students must sign up for either one online tutorial (Tuesday 11am-12pm EST) or one in-person tutorial (Tuesday 12pm-1pm EST).,,,"The course introduces students to key concepts and issues in the three related disciplines at the core of our program: drama, theatre, and performance studies. We consider broader questions of performance and performativity in daily life alongside the questions of what goes into the making of a stage-based performance and the responsibilities of artists, presenters, and witnesses in this endeavour. Engaging critically with theoretical and dramatic texts and live performances, students learn how to think about performance in its cultural, social, aesthetic and political dimensions, and how to acknowledge and navigate their own responsibilities as culture workers situated in specific historical and contemporary contexts. This course combines weekly two-hour lectures with one-hour tutorials.",,,"DRM100Y1, DRE121H5, DRE122H5, VPDA10H3, VPDA11H3, VPDA10H3, VPDA15H3, VPDB10H3, VPDB11H3",Exclusion:,Humanities,Distribution Requirement:,"Creative and Cultural Representations (1), Society and its Institutions (3)",Breadth Requirement:,LEC0101,Tuesday,—,09:00,11:00,—,—,"Boye, S.",of  available,5,168,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),"Centre for Drama, Theatre and Performance Studies   (Faculty of Arts and Science)",Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Tuesday,—,11:00,12:00,Tuesday,—,—,of  available,13,88,No,Online - Synchronous (See Delivery Instructions.),Activity,,,,,,https://map.utoronto.ca/?id=1809#!m/494517,https://map.utoronto.ca/?id=1809#!m/494531,,,
EAS,Modern Chinese I for Students with Prior Background,EAS101Y1-Y,Timetable instructions,Note:,See EAS's website for . Students need a placement interview prior to enrolling; registration deadline is at the end of June.,placement and enrolment instructions,https://www.eas.utoronto.ca/languages/enrolment-instructions/chinese,This course is designed for students who understand elementary Mandarin or any Chinese dialect because of their cultural or family backgrounds. The course consists of mandatory lectures and tutorials. Students will learn a minimum of 550 characters. Students must go through placement process conducted by the Department. See  for details.,www.eas.utoronto.ca/languages/chinese,http://www.eas.utoronto.ca/languages/chinese,"EAS100Y1, EAS200Y1, LGGA60H3, LGGA61H3, LGGB60H3, LGGB61H3, CHI100Y5, CHI101H5, CHI200Y5, CHI201Y5",Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,LEC9901,Monday,—,11:00,13:00,—,—,"Wang, J.",of  available,2,60,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. NOTE: Spaces for each priority group in this course are not equal, and each priority group has its own waitlist until July 28. As of July 30, the waitlists for each priority group merge into one, and your rank on the waitlist may change; this is also when other Arts & Science students can begin to enrol. Beginning August 4, other downtown campus students can enrol in this section. There is no course enrolment on August 5. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of East Asian Studies   (Faculty of Arts and Science),Year 1      (Faculty of Arts and Science),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Wednesday,—,11:00,13:00,Wednesday,—,—,of  available,0,30,No,Online - Synchronous (See Delivery Instructions.),Activity,,,,,,,,,,
EAS,Premodern East Asia,EAS103H1-F,Delivery instructions,Note:,Students will be expected to watch asynchronous lecture videos. Tutorials will be available only as online synchronous and in person at their scheduled times. No recordings of tutorials will be made available. Students who enrol in an online tutorial will be able to complete the course fully online.,,,"Examines how various histories of East Asia can be written by focusing on specific themes in the histories of China, Japan, and Korea to roughly 1600. Required of EAS specialists, majors, and minors.",,,EAS102Y1,Exclusion:,Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,LEC0101,2.0 hours / week,,,,,,"Keirstead, T.",of  available,9,375,Yes: 0 student,Asynchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of East Asian Studies   (Faculty of Arts and Science),Year 1      (Faculty of Arts and Science),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Friday,—,09:00,10:00,Friday,—,—,of  available,0,25,No,Online - Synchronous (See Delivery Instructions.),Activity,Room,,,,,,https://map.utoronto.ca/?id=1809#!m/494495,—,,
ES,Geology in Public Issues,ESS103H1-F,Delivery instructions,Note:,Lectures and tutorials will be delivered online; learning is self-paced and not reliant on a meeting schedule.,,,"Geologic hazards: earthquakes, volcanoes, landslides, tsunamis. The distribution and politics of natural resources, including petroleum and ore deposits. Nuclear power and nuclear waste disposal. Global change: the geologic record of hot and cold climates, and how the earth survives.  ESS103H1 is primarily intended as a science Distribution Requirement course for Humanities and Social Science, it will be taught in odd years.",,,"GLG103H1, ERS103H5",Exclusion:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,LEC9901,2.0 hours / week,,,,,,"Bank, C.",of  available,2,300,Yes: 0 student,Asynchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),AS   HBSCT Science Tranfser Degree Program,,,,,,,,,,,,,—,,,,,,,,Room,,,,,,,,,
ES,Controversies in Earth Science,ESS104H1-F,Delivery instructions,Note:,Lectures and tutorials will be delivered online; learning is self-paced and not reliant on a meeting schedule.,,,"The evolution of ideas about the origin and development of the earth from the Athenians to the 20th Century, with attention on the age of earth; on the evolution and disappearance of species; on the origin of oceans, continents and mountains; on climate change; and on the courage of scientists in confronting the religious and political views of their time.  ESS104H1 is primarily intended as a science Distribution Requirement course for Humanities and Social Science students. Taught in even years.",,,GLG105H1,Exclusion:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,LEC9901,2.0 hours / week,,,,,,"Tutty, L.",of  available,8,200,Yes: 0 student,Asynchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),AS   HBSCT Science Tranfser Degree Program,,,,,,,,,,,,,—,,,,,,,,Room,,,,,,,,,
EAS,Modern East Asia,EAS105H1-S,Delivery instructions,Note:,Students will be expected to watch asynchronous lecture videos and attend tutorials.,,,"Examines how various histories of East Asia can be written by focusing on specific themes in the histories of China, Japan, and Korea from roughly 1600 to the Cold War. Required of EAS specialists, majors, and minors.",,,EAS103H1,Prerequisite:,EAS102Y1,Exclusion:,Humanities,Distribution Requirement:,LEC0101,2.0 hours / week,,,,,,"Zhong, Y.",of  available,0,250,Yes: 36 students,Asynchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of East Asian Studies   (Faculty of Arts and Science),Year 1      (Faculty of Arts and Science),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0100,Friday,—,09:00,10:00,Friday,—,—,of  available,7,25,No,In Person (See Delivery Instructions.),Activity,Room,,,,,,https://map.utoronto.ca/?id=1809#!m/494536,,Society and its Institutions (3),Breadth Requirement:
ES,Our home planet,ESS105H1-S,Delivery instructions,Note:,Lectures and labs will be available only as online synchronous at their scheduled times.,,,The nature and evolution of the Earth; plate tectonics; rocks and minerals; volcanism; geological time; fossils; geology of Ontario; environmental issues; and human interactions with the planet.  ESS105H1 is primarily intended as a science Distribution Requirement course for Humanities and Social Science students,,,"GLG110H1, EESA06H3",Exclusion:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,LEC9901,Friday,—,15:00,17:00,,,"Santimano, T.",of  available,0,220,Yes: 35 students,Online - Synchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),AS   HBSCT Science Tranfser Degree Program,,,,,,,,,,,,,—,,,,,,,,Room,,,,,,,,,
EAS,Modern Standard Korean I,EAS110Y1-Y,Timetable instructions,Note:,See EAS's website for . Students may need a placement interview prior to enrolling; registration deadline is at the end of June. Students must enrol tutorials as follows: LEC0101 in TUT0101 or TUT0201; LEC0201 in TUT0301 or TUT0401; LEC9901 in TUT0501 or TUT0601; LEC9902 in TUT5101 or TUT5201.,placement and enrolment instructions,https://www.eas.utoronto.ca/languages/enrolment-instructions/korean,"This course is designed to help students build communication skills in the Korean language. Through an integration of listening, speaking, reading and writing, it aims to provide a solid foundation in beginning-level Korean. This course assumes that students do not have any prior knowledge of Korean. Students must go through screening process conducted by the Department. See www.eas.utoronto.ca/languages/korean for details. Not eligible for CR/NCR option.",,,EAS211Y1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,LEC0101,Thursday,—,10:00,12:00,—,—,"Ko, K.",of  available,0,50,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. NOTE: Spaces for each priority group in this course are not equal, and each priority group has its own waitlist until July 28. As of July 30, the waitlists for each priority group merge into one, and your rank on the waitlist may change; this is also when other Arts & Science students can begin to enrol. Beginning August 4, other downtown campus students can enrol in this section. There is no course enrolment on August 5. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of East Asian Studies   (Faculty of Arts and Science),Year 1      (Faculty of Arts and Science),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Monday,—,09:00,10:30,Wednesday,—,—,of  available,0,25,No,Online - Synchronous (See Delivery Instructions.),Activity,,Thursday,—,15:00,17:00,,,,,
EAS,Modern Standard Japanese I,EAS120Y1-Y,Timetable instructions,Note:,See EAS's website for . Returning students who need to take the placement test must register at the beginning of June. Students must enrol tutorials as follows: LEC9901 in TUT0101 or TUT0201; LEC9902 in TUT0102 or TUT0202; LEC0101 in TUT0301 or TUT0501; LEC0102 in TUT0401 or TUT0601; LEC0201 in TUT0701 or TUT0801; LEC9903 in TUT5101 or TUT5201.,placement and enrolment instructions,https://www.eas.utoronto.ca/languages/enrolment-instructions/japanese,This course is for students with no or a very limited background in Japanese. Students must go through screening process conducted by the Department. See www.eas.utoronto.ca/languages/japanese/ for details. Not eligible for CR/NCR option.,,,"EAS121H1, EAS122Y0, LGGA80H3, LGGA81H3",Exclusion:,Learning the Japanese alphabets (hiragana & katakana),Recommended Preparation:,Humanities,Distribution Requirement:,LEC0101,Monday,—,13:00,15:00,—,—,"Park, J.",of  available,1,50,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. NOTE: Spaces for each priority group in this course are not equal, and each priority group has its own waitlist until July 28. As of July 30, the waitlists for each priority group merge into one, and your rank on the waitlist may change; this is also when other Arts & Science students can begin to enrol. Beginning August 4, other downtown campus students can enrol in this section. There is no course enrolment on August 5. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of East Asian Studies   (Faculty of Arts and Science),Year 1      (Faculty of Arts and Science),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Tuesday,—,10:00,11:00,Thursday,—,—,of  available,2,25,No,Online - Synchronous (See Delivery Instructions.),Activity,,Monday,—,13:00,15:00,https://map.utoronto.ca/?id=1809#!m/494495,https://map.utoronto.ca/?id=1809#!m/494536,,Creative and Cultural Representations (1),Breadth Requirement:
EAS,Japanese I for Students with Prior Background,EAS121H1-S,Timetable instructions,Note:,See EAS's website for . Returning students who need to take the placement test must register at the beginning of June. Students must enrol tutorials as follows: LEC9901 in TUT0101 or TUT0201; LEC9902 in TUT0102 or TUT0202; LEC0101 in TUT0301 or TUT0501; LEC0102 in TUT0401 or TUT0601; LEC0201 in TUT0701 or TUT0801; LEC9903 in TUT5101 or TUT5201.,placement and enrolment instructions,https://www.eas.utoronto.ca/languages/enrolment-instructions/japanese,This course is equivalent to the second half of EAS120Y1 for students with some background in the Japanese language. Students must go through placement process conducted by the Department. See www.eas.utoronto.ca/languages/japanese/ for details. Not eligible for CR/NCR option.,,,"EAS120Y1, EAS222Y0, LGGA81H3",Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,LEC0101,Monday,—,13:00,15:00,SS 2106,RW 143,"Park, J.",of  available,1,6,Yes: 0 student,In Person (See Delivery Instructions.),Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Tuesday,—,10:00,11:00,Thursday,—,—,of  available,3,3,No,Online - Synchronous (See Delivery Instructions.),Activity,Room,Monday,—,13:00,15:00,https://map.utoronto.ca/?id=1809#!m/494510,https://map.utoronto.ca/?id=1809#!m/494495,—,,
EAS,What is “The Yellow Peril”?,EAS193H1-F,Delivery instructions,Note:,Lectures will be available only as online synchronous at their scheduled time.,,,"This course explores the old and new reincarnations of “the Yellow Peril” complex. The 2020 naming of COVID-19 as “the Chinese virus” by the U.S. president Donald Trump has provoked much anger, criticism, and concerns for anti-Asian violence and the reagitation of “The Yellow Peril” panic. Yet the imaginaries of “the Yellow Peril” and their power effects have been engrained in our political modernity, the Enlightenment ideas, and its institutions in a much more complex, far-reaching, and intersecting ways in East Asia and beyond. The course will explore various types of cultural productions, including history, literature, film, news media, etc., to introduce the racial, colonial, capitalist, sexual, militarized, and other dimensions of the “Yellow Peril.” Restricted to first-year students. Not eligible for CR/NCR option.",,,Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,LEC9901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,,,—,,
EAS,Shan Shui Landscape: A Cultural Historical Study,EAS195H1-S,Delivery instructions,Note:,Note: this course is being moved to the S session.,,,"This course looks into the history of cultural production of Chinese Shan Shui (lit., mountain and water) landscape representations from an environmental humanities perspective. As an artistic motif, Shan Shui travels between past and present and across various mediums as well as literary and artistic genres. What exactly are we invited to see and contemplate on in the Shan Shui? Are Shan Shui works about “nature,” spirit, Qi, or the human world? The course seeks to inquire into these and other questions through examining the concepts, arts, and transformations of selected Shan Shui works in imperial and contemporary China. Restricted to first-year students. Not eligible for CR/NCR option.",,,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,LEC0101,Tuesday,—,15:00,17:00,SS 2114,,,of  available,0,25,Yes: 6 students,In Person (See Delivery Instructions.),Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,Room,,,,,https://map.utoronto.ca/?id=1809#!m/494510,,—,,
EAS,"Consumption, Taste and Culture in East Asia",EAS196H1-S,,,,,,"This course explores the roles that consumption and taste play in personal and public lives in East Asia. Course focus may include the cultural histories of food, fashion, tourism, sports, or forms of audio and visual media. (No prior knowledge of East Asian languages or cultures is necessary.) Restricted to first-year students. Not eligible for CR/NCR option.",,,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,LEC0101,Thursday,—,11:00,13:00,WI 523,,"Keirstead, T.",of  available,0,25,Yes: 18 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,Room,,,,,https://map.utoronto.ca/?id=1809#!m/494503,,,,
ES,Life and Death in the Solar System,ESS196H1-F,,,,,,"Earth is the only planet in the solar system known to support life. Through directed readings, seminars, videos and lab visits, participants in this course will work with instructors whose own research tackles important questions concerning the origin of life on earth; the limits to life on this planet; implications for life under extreme conditions elsewhere in the solar system; and the life cycles of the planets themselves. The course will involve reading of scientific literature, student-led discussions, oral presentations and research projects, as well as potential field trips to sites in Southern Ontario. Restricted to first-year students. Not eligible for CR/NCR option.",,,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,,,LEC0101,Wednesday,—,11:00,13:00,ES 1062,,"Mazrouei-Seidani, S.",of  available,0,25,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,Room,,,,,https://map.utoronto.ca/?id=1809#!m/494499,,,,
ES,Earth and Life through Time,ESS197H1-F,,,,,,"This seminar will look through the lens of earth history to explore drivers of change in the biosphere and the impacts of these changes. We will focus on episodes of mass extinction, and the spectacular landscape changes and speciation events which often followed. Abrupt or gradual climatic changes, massive volcanism, asteroid impacts, catastrophic carbon releases, and human activity will be evaluated as the causes of major extinction events in Earth history. The course will involve reading of scientific literature, student-led discussions, oral presentations and research projects, as well as potential field trips to sites in Southern Ontario. Restricted to first-year students. Not eligible for CR/NCR option.",,,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,,,LEC0101,Wednesday,—,13:00,15:00,ES 1062,,"Pysklywec, R.",of  available,2,25,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,Room,,,,,https://map.utoronto.ca/?id=1809#!m/494499,,,,
ES,Resources and Sustainability,ESS198H1-S,,,,,,"The rise of humanity is intricately linked to the exploitation of natural resources. From its earliest attempts to use fire and extract metals from rocks, to coal-fired steam that brought the industrial revolution, hydrocarbons that fuel international travel and trade, nuclear energy to produce electricity, and the reliance on smartphones in our daily lives, the planet’s resources have brought innovation and problems and require us to ask questions regarding sustainability. This course will explore the gamut from resource extraction and trading, to its societal consequences including global politics, environmental pollution, and remediation. The course will involve reading of scientific literature, student-led discussions, oral presentations and research projects, and potentially field trips to sites in Southern Ontario. Restricted to first-year students. Not eligible for CR/NCR option.",,,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,,,LEC0101,Monday,—,10:00,12:00,ES 2119,,"Santimano, T.",of  available,0,25,Yes: 8 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,Room,,,,,https://map.utoronto.ca/?id=1809#!m/494499,,,,
ES,"Earth, Portrait of a Planet",ESS199H1-S,,,,,,"""",ugrad@es.utoronto.ca,mailto:ugrad@es.utoronto.ca,"Modern Earth Sciences touches on virtually all aspects of modern life, from the atmosphere to large scale natural disasters. This course will explore how earth sciences has shaped our society and our understanding of the earth as a system. Potential course topics will vary depending on the instructor, and include (but are not limited to) the great climate change crisis and what we know about climate change in the past to the literally earth moving ideas of plate tectonics (and the associated natural disasters). The course will involve reading of scientific literature, student-led discussions, oral presentations and research projects. Restricted to first-year students. Not eligible for CR/NCR option.For further information, please contact the Student Affairs Coordinator (Scott Moore, Department of Earth Sciences, 22 Russell St. Earth Sciences Center, Room 1062 email: ).",Distribution Requirement:,Science,Breadth Requirement:,The Physical and Mathematical Universes (5),,LEC0101,Thursday,—,09:00,11:00,ES 2119,,"Wortmann, U.",of  available,0,25,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,Room,,,,,https://map.utoronto.ca/?id=1809#!m/494499,,,,
DRAMA,Performance I,DRM200Y1-Y,Timetable instructions,Note:,There are two rounds of auditions and interviews: March 10th and August 10th. See,DRM200Y Audition Guidelines,https://www.cdtps.utoronto.ca/current-undergraduate-courses/drm200y1-performance,"Emphasis is initially placed on ensemble, non-verbal, and improvisational work. Students proceed to the application of their acquired skills to scripted material. Students may apply in their first or second year of University. The  Deadline is March 10th for the first round of auditions; August 10th for the second round. Please consult the  for information on how to apply.",Application,https://drama-apply.chass.utoronto.ca/login,An audition and interview in April or in August. Newly admitted students can apply for an audition before beginning their first year of studies.,Prerequisite:,DRM101Y1 or DRM220Y1,Corequisite:,DRS221H5 AND DRS222H5; VPDB01H3 AND VPDB02H3,Exclusion:,LEC0101,Monday,—,11:00,13:00,SD 22,SD 22,"Aplin, J.",of  available,1,16,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,SD 22,,,,SD 22,SD 22,,,,,,,,,Wednesday,—,11:00,13:00,,,,Humanities,Distribution Requirement:
EAS,Modern Standard Chinese II,EAS200Y1-Y,Timetable instructions,Note:,See EAS's website for . Students need a placement interview prior to enrolling; registration deadline is at the end of June.,placement and enrolment instructions,https://www.eas.utoronto.ca/languages/enrolment-instructions/chinese,This course is a continuation of EAS100Y1. Students learn major grammatical structures which are not introduced in the first year and expand their vocabulary. Students who do not meet the prerequisite must go through a placement process conducted by the Department. See www.eas.utoronto.ca/languages/chinese for details.,,,EAS100Y1 (minimum grade 67%)/equivalent as determined by placement process.,Prerequisite:,"EAS101Y1, EAS201H1,  LGGB60H3, LGGB61H3, CHI200Y5, CHI201Y5",Exclusion:,Humanities,Distribution Requirement:,LEC9901,Monday,—,10:00,12:00,—,—,"Fan, M.",of  available,6,30,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),"Priority, then Enrol at Department (PE)",Enrolment Controls:,"Priority enrolment on ACORN is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all students must request permission to enrol in this section by contacting the sponsoring department. Please see Timetable Instructions tab for contact information. The following groups of students are given priority access on ACORN until July 28:",ASMAJ1058 MA EAST ASIAN STUDIES,ASSPE1058 SP EAST ASIAN STUDIES,,,,,,,,,,,,,,,,,,,,,,Wednesday,—,10:00,12:00,,,,Creative and Cultural Representations (1),Breadth Requirement:
EAS,Modern Chinese II for Students with Prior Background,EAS201H1-F,Timetable instructions,Note:,See EAS's website for . Students need a placement interview prior to enrolling; registration deadline is at the end of June.,placement and enrolment instructions,https://www.eas.utoronto.ca/languages/enrolment-instructions/chinese,"This course is a continuation of EAS101Y1. It focuses on development of students’ listening, speaking, reading, and writing skills at a low intermediate level. Students who do not meet the prerequisite must go through placement process conducted by the Department. See www.eas.utoronto.ca/languages/chinese for details.",,,EAS101Y1 (minimum 67%)/equivalent as determined by placement process.,Prerequisite:,"EAS200Y1, EAS201Y1, EAS290Y1, LGGB60H3, LGGB61H3, CHI200Y5, CHI201Y5",Exclusion:,Humanities,Distribution Requirement:,LEC9901,Monday,—,19:00,21:00,,,"Zheng, M.",of  available,0,33,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),"Priority, then Enrol at Department (PE)",Enrolment Controls:,"Priority enrolment on ACORN is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all students must request permission to enrol in this section by contacting the sponsoring department. Please see Timetable Instructions tab for contact information. The following groups of students are given priority access on ACORN until July 28:",ASMAJ1058 MA EAST ASIAN STUDIES,ASSPE1058 SP EAST ASIAN STUDIES,,,,,,,,,,,,,—,,,,,,,,Room,Wednesday,—,19:00,21:00,,,,Creative and Cultural Representations (1),Breadth Requirement:
